class,text
spam,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
ham,Aiyah ok wat as long as got improve can already wat...
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
spam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,We confirm eating at esplanade?
ham,U don't remember that old commercial?
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,Understand. his loss is my gain :) so do you work? School?
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,Hi. I'm always online on yahoo and would like to chat with you someday
ham,Easy ah?sen got selected means its good..
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,Ding me on ya break fassyole! Blacko from londn
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
ham,Dear umma she called me now :-)
ham,"Babe, I'm back ... Come back to me ..."
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,"Sorry, I'll call later  &lt;#&gt; mins"
ham,When are you going to ride your bike?
ham,You made my day. Do have a great day too.
ham,I accidentally deleted the message. Resend please.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
ham,Delhi and chennai still silent.
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,Also andros ice etc etc
ham,I'm in a movie... Collect car oredi...
ham,Aight should I just plan to come up later tonight?
ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,There bold 2  &lt;#&gt; . Is that yours
ham,Thts wat Wright Brother did to fly..
ham,Yo im right by yo work
ham,To day class is there are no class.
ham,Simply sitting and watching match in office..
ham,Or i go home first lar Ì_ wait 4 me lor.. I put down my stuff first..
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,Does daddy have a bb now.
ham,I had askd u a question some hours before. Its answer
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,Did u see what I posted on your Facebook?
ham,"I'm not sure, I was just checking out what was happening around the area"
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
ham,Am not interested to do like that.
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,What is your record for one night? :)
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
ham,Oh all have to come ah?
ham,Designation is software developer and may be she get chennai:)
spam,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,Wen did you get so spiritual and deep. That's great
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,I have lost 10 kilos as of today!
ham,Jos ask if u wana meet up?
ham,What not under standing.
ham,Are you this much buzy
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
ham,You unbelievable faglord
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,Just come home. I don't want u to be miserable
ham,Do you like Italian food?
ham,Dont put your phone on silent mode ok
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
ham,Nt joking seriously i told
ham,She's borderline but yeah whatever.
ham,"Well, I meant as opposed to my drunken night of before"
ham,So the sun is anti sleep medicine.
ham,"Cool, what time you think you can get here?"
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story
ham,Not yet chikku..wat abt u?
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
ham,Free any day but i finish at 6 on mon n thurs...
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! "
ham,K...k...when will you give treat?
ham,Whatsup there. Dont u want to sleep
ham,And you! Will expect you whenever you text! Hope all goes well tomo 
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,ÌÏ thk of wat to eat tonight.
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,Send me your id and password
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,Sorry da..today i wont come to play..i have driving clas..
ham,K. I will sent it again
ham,"Oh yes, why is it like torture watching england?"
ham,Short But Cute: \Be a good person
ham,I wanna watch that movie
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
spam,URGENT We are trying to contact you Last weekends draw shows u have won a å£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,Company is very good.environment is terrific and food is really nice:)
ham,Here got lots of hair dresser fr china.
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
ham,K..k..any special today?
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,Nope... C Ì_ then...
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
ham,"Doing nothing, then u not having dinner w us?"
ham,Thank You meet you monday
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,Where did u go? My phone is gonna die you have to stay in here
ham,Boy you best get yo ass out here quick
ham,Hi my email address has changed now it is 
ham,Now? I'm going out 4 dinner soon..
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,How's ur paper?
ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,Do u hav any frnd by name ashwini in ur college?
ham,Nothing spl..wat abt u and whr ru?
ham,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
ham,"sorry, no, have got few things to do. may be in pub later."
ham,Aiya we discuss later lar... Pick Ì_ up at 4 is it?
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,Nope... Think i will go for it on monday... Sorry i replied so late
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,Ladies first and genus second k .
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham,"K, wat s tht incident?"
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
ham,Yo come over carlos will be here soon
ham,Pandy joined 4w technologies today.he got job..
ham,Boo what time u get out? U were supposed to take me shopping today. :(
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
ham,Sday only joined.so training we started today:)
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,Okay same with me. Well thanks for the clarification
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
spam,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
spam,"449050000301 You have won a å£2,000 price! To claim, call 09050000301."
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,What you doing?how are you?
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
